mouse_life_stage,Early adult
pvalue,0.8794905
parameter_id,IMPC_OFD_017_001
mouse_strain,C57BL
analysis_id,lpjc28al395zv3x
gene_symbol,Cisd2
gene_accession_id,MGI:1914256
parameter_name,Center average speed
