gene_symbol,Secisbp2l
parameter_id,IMPC_IMM_071_001
mouse_life_stage,Middle aged adult
parameter_name,MZB (CD21/35 high)
analysis_id,k02dp9g19se19n7
mouse_strain,C57BL
gene_accession_id,MGI:1917604
pvalue,0.8916595
