parameter_name,Hindlimbs - shape
mouse_strain,C57BL
parameter_id,JAXLA_CSD_021_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1338022
pvalue,1.406884
analysis_id,42h479f9820iohx
gene_symbol,Opn3
