parameter_name,Periphery permanence time
analysis_id,y56s392az52x58l
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
gene_symbol,AU040320
pvalue,0.7001366
gene_accession_id,MGI:2140475
parameter_id,IMPC_OFD_012_001
