analysis_id,0301959b424h721
pvalue,0.2138694
gene_accession_id,MGI:1914515
gene_symbol,Slc39a10
mouse_strain,C57BL
mouse_life_stage,E9.5
parameter_name,Pupil Dilation
parameter_id,IMPC_EYE_013_001
