parameter_name,center - resting time
pvalue,0.6692515
gene_accession_id,MGI:1914672
analysis_id,pf87451d9288069
mouse_life_stage,Early adult
gene_symbol,Dhdds
parameter_id,M-G-P_007_001_011
mouse_strain,C57BL
