analysis_id,40i063r4o9hj7l1
parameter_name,Skull shape
mouse_strain,C57BL
gene_symbol,AU040320
parameter_id,CCP_XRY_001_001
mouse_life_stage,Middle aged adult
pvalue,0.5349724
gene_accession_id,MGI:2140475
