analysis_id,43lt2mhr25r9j88
mouse_life_stage,Early adult
parameter_id,ESLIM_007_001_006
parameter_name,Periphery distance travelled
gene_symbol,Cds2
mouse_strain,C57BL
gene_accession_id,MGI:1332236
pvalue,0.2204913
