analysis_id,0g9k8s129qdblw3
gene_symbol,Kdm5b
mouse_life_stage,Early adult
gene_accession_id,MGI:1922855
mouse_strain,C57BL
pvalue,0.6120056
parameter_name,Eyelid morphology
parameter_id,IMPC_EYE_004_001
