analysis_id,71rew9k699rw10i
mouse_strain,C57BL
parameter_id,IMPC_CBC_006_001
gene_accession_id,MGI:95835
gene_symbol,Hspa5
parameter_name,Total protein
mouse_life_stage,Early adult
pvalue,0.4920551
