parameter_name,Thyroxine
analysis_id,66jc9e846c8zs3s
gene_accession_id,MGI:95835
mouse_strain,C53BL
mouse_life_stage,E12.5
parameter_id,IMPC_CBC_053_001
pvalue,0.439566
gene_symbol,Hspa5
