analysis_id,01c1si516y6443h
mouse_strain,C57BL
mouse_life_stage,E12.5
pvalue,0.1899707
parameter_name,CD4+ KLRG1+ alpha beta T cell number
gene_accession_id,MGI:1915087
parameter_id,MGP_PBI_032_001
gene_symbol,Tiprl
