analysis_id,3t112yth51wi81c
mouse_life_stage,E9.5
parameter_id,JAXLA_OFD_017_001
gene_accession_id,MGI:1915087
pvalue,0.2581455
mouse_strain,C57BL
gene_symbol,Tiprl
parameter_name,Center average speed
