analysis_id,1bhs46376h35964
pvalue,0.3900331
mouse_strain,C59BL
gene_accession_id,MGI:1913105
gene_symbol,Slc28a2
parameter_name,Whole arena resting time
parameter_id,ESLIM_007_001_003
mouse_life_stage,Early adult
