parameter_id,IMPC_OWT_004_001
gene_accession_id,MGI:3616086
parameter_name,Right kidney weight
pvalue,0.7980679
gene_symbol,Kcng1
analysis_id,d5d394614m6l39a
mouse_strain,C57BL
mouse_life_stage,Early adult
