analysis_id,m70q58063479u77
gene_accession_id,MGI:95457
parameter_name,Forelimb and hindlimb grip strength measurement mean
mouse_life_stage,Early adult
gene_symbol,Mecom
pvalue,0.9171058
mouse_strain,C3H
parameter_id,IMPC_GRS_009_001
