analysis_id,9eu7vo4nsm03ra6
pvalue,0.942746
parameter_id,IMPC_CSD_008_001
mouse_life_stage,Early adult
gene_accession_id,MGI:3616086
parameter_name,Coat - color pattern - back
gene_symbol,Kcng1
mouse_strain,C57BL
