gene_symbol,Etfdh
parameter_name,White blood cell-count
gene_accession_id,MGI:106100
pvalue,0.9810145
parameter_id,M-G-P_016_001_001
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,cibsi8dwj6846f2
