gene_symbol,Fgb
parameter_id,JAXLA_CBC_015_001
mouse_life_stage,E12.5
mouse_strain,C57BL
gene_accession_id,MGI:99501
parameter_name,Total cholesterol
pvalue,0.6184027
analysis_id,7t0z8086a9r46po
