gene_symbol,Kdm4c
parameter_name,KLRG1+ NK cells - % of CD45+
gene_accession_id,MGI:1924054
pvalue,0.9111624
parameter_id,MGP_IMM_101_001
analysis_id,5w4gh9i154teo25
mouse_strain,C57BL
mouse_life_stage,Early adult
