parameter_id,UCD_OWT_008_001
gene_accession_id,MGI:1916846
pvalue,0.823719
parameter_name,Liver weight
analysis_id,o613w03tn7xu487
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Ap5s1
