gene_symbol,Hnf4a
pvalue,0.285504
analysis_id,4c633y4ts08d789
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,% Pre-pulse inhibition - PPI2
parameter_id,IMPC_ACS_034_001
gene_accession_id,MGI:109128
