analysis_id,w6w0u26iry3c475
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_XRY_066_001
parameter_name,Sacral processes
gene_symbol,Rab22a
pvalue,0.111488
gene_accession_id,MGI:105072
