gene_symbol,Hpca
analysis_id,5detd77eq4v42ko
parameter_id,IMPC_CSD_029_001
pvalue,0.0002977119
gene_accession_id,MGI:1336200
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Activity (body position)
