analysis_id,20owu4eq2v20g27
mouse_life_stage,Early adult
pvalue,0.6491275
parameter_name,Pale yolk sac
gene_symbol,Mapkap1
mouse_strain,C57BL
parameter_id,IMPC_GEL_017_002
gene_accession_id,MGI:2444554
