parameter_name,Percent time in light
pvalue,0.6225489
gene_accession_id,MGI:88328
mouse_strain,C57BL
parameter_id,JAX_LDT_009_001
mouse_life_stage,Early adult
gene_symbol,Tnfsf8
analysis_id,t37q7200225494h
