analysis_id,we426y26ed80ryx
pvalue,0.571502
gene_accession_id,MGI:96757
parameter_id,M-G-P_008_001_013
parameter_name,Startle Response
gene_symbol,Lcn2
mouse_life_stage,Early adult
mouse_strain,C57BL
