gene_symbol,Cisd2
mouse_strain,C57BL
analysis_id,4i3868tu19e80vk
gene_accession_id,MGI:1914256
pvalue,0.4106836
parameter_id,MGP_MLN_014_001
parameter_name,Resting CD8+ T cells - % of CD8+
mouse_life_stage,Early adult
