analysis_id,8039fi9d5b0qlt8
mouse_life_stage,Early adult
gene_accession_id,MGI:1918025
parameter_id,IMPC_ACS_036_001
gene_symbol,Zmynd8
parameter_name,% Pre-pulse inhibition - PPI4
mouse_strain,129SV
pvalue,0.2421141
