parameter_name,CV
gene_accession_id,MGI:108072
gene_symbol,Traf6
pvalue,0.2152816
parameter_id,IMPC_ECG_003_001
mouse_strain,C57BL
analysis_id,2b5xl5c44lxb7e6
mouse_life_stage,Early adult
