analysis_id,94j5892n65fe1e5
parameter_name,Center permanence time
mouse_life_stage,Early adult
gene_accession_id,MGI:2181659
parameter_id,IMPC_OFD_016_001
pvalue,0.2118032
gene_symbol,Tox
mouse_strain,C57BL
