analysis_id,an08n69rmzs4v63
mouse_strain,129SV
parameter_id,IMPC_DXA_010_001
pvalue,0.1083416
parameter_name,Bone Area
gene_symbol,Arpc2
mouse_life_stage,Early adult
gene_accession_id,MGI:1923959
