gene_symbol,Ddx27
parameter_id,HRWLLA_OFD_011_001
analysis_id,t7439r8r2et449p
gene_accession_id,MGI:2385884
parameter_name,Periphery resting time
mouse_strain,129SV
pvalue,0.3112574
mouse_life_stage,Early adult
