parameter_name,Eye
pvalue,0.4766345
gene_symbol,Cisd2
gene_accession_id,MGI:1914256
mouse_life_stage,Early adult
parameter_id,M-G-P_013_001_001
mouse_strain,C57BL
analysis_id,705e1882k4r6i5f
