analysis_id,u3e4343mc06f2wc
gene_accession_id,MGI:1920638
parameter_name,Neutrophil percentage
parameter_id,MGP_PBI_019_001
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.6556696
gene_symbol,Bpifa3
