parameter_name,End-Diastolic Diameter
mouse_strain,C57BL
gene_accession_id,MGI:88479
mouse_life_stage,Early adult
pvalue,0.6395953
gene_symbol,Cpa3
parameter_id,IMPC_ECH_002_001
analysis_id,v5n8q1s0u90dbig
