gene_symbol,Zfp683
parameter_name,CD8+ KLRG1+ alpha beta T cell number
gene_accession_id,MGI:3650254
pvalue,0.6144855
analysis_id,ybgriwb31g1x908
mouse_strain,C57BL
parameter_id,MGP_PBI_033_001
mouse_life_stage,Early adult
