parameter_id,IMPC_IMM_006_001
gene_accession_id,MGI:2446274
pvalue,0.8137549
analysis_id,bn39966k4114i65
parameter_name,Others
mouse_strain,C57BL
mouse_life_stage,Late adult
gene_symbol,Frmpd1
