parameter_name,Distance travelled - total
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,HRWLLA_OFD_020_001
analysis_id,nfuk3lx1cukwkr7
gene_accession_id,MGI:1916363
gene_symbol,Alkbh3
pvalue,0.3465104
