mouse_strain,129SV
parameter_id,MGP_MLN_011_001
gene_accession_id,MGI:1918025
mouse_life_stage,Early adult
pvalue,0.8843788
gene_symbol,Zmynd8
parameter_name,KLRG1+ Treg cells - % of Treg
analysis_id,jkh709t07cuoz8q
