parameter_name,Humerus
pvalue,0.59477
mouse_strain,C57BL
parameter_id,IMPC_XRY_021_001
mouse_life_stage,Early adult
analysis_id,d8397kuy1um5oml
gene_symbol,Lpgat1
gene_accession_id,MGI:2446186
