analysis_id,r180q009m3j2sc3
mouse_life_stage,Early adult
parameter_name,center - distance
parameter_id,M-G-P_007_001_010
gene_symbol,Ift74
pvalue,0.8647966
gene_accession_id,MGI:1914944
mouse_strain,C57BL
