analysis_id,b62354ex0l7j623
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_PBI_032_001
pvalue,0.5151177
gene_symbol,Tox
gene_accession_id,MGI:2181659
parameter_name,CD4+ KLRG1+ alpha beta T cell number
