gene_symbol,Cmpk1
pvalue,0.8491304
analysis_id,339ew5zaf2656l2
gene_accession_id,MGI:1913838
mouse_strain,C57BL
parameter_name,B1B Cells
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_064_001
