analysis_id,44w5z511ubgn674
mouse_life_stage,E9.5
gene_symbol,Dmap1
parameter_id,IMPC_CSD_033_001
mouse_strain,C57BL
pvalue,0.8972742
gene_accession_id,MGI:1913483
parameter_name,Gait
