parameter_name,Skull shape
mouse_strain,C57BL
gene_accession_id,MGI:87968
mouse_life_stage,E9.5
gene_symbol,Ahcy
analysis_id,76q8juo8cotu437
parameter_id,IMPC_XRY_001_001
pvalue,0.05034418
