analysis_id,8l398232ujbti8t
mouse_life_stage,Late adult
parameter_id,MGP_IMM_125_001
gene_symbol,Hpca
parameter_name,Eosinophils - % of CD45+
pvalue,0.1763546
gene_accession_id,MGI:1336200
mouse_strain,C53BL
