parameter_name,Platelet count
mouse_strain,C57BL
parameter_id,IMPC_HEM_008_001
analysis_id,944qjy2w7mfl6cv
gene_accession_id,MGI:1918764
mouse_life_stage,Early adult
gene_symbol,Sfpq
pvalue,0.9227345
