mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.5594514
gene_symbol,Psd4
analysis_id,xo9990fwcwk1591
gene_accession_id,MGI:2674093
parameter_id,IMPC_CBC_011_001
parameter_name,Iron
