analysis_id,pz1c2euyxums906
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Usp37
pvalue,0.3335273
parameter_id,MGP_CSD_015_001
parameter_name,Head coat/hair presence
gene_accession_id,MGI:2442483
