parameter_name,B cell percentage
gene_symbol,Cldn19
mouse_life_stage,Early adult
analysis_id,zy97906mi07z0no
mouse_strain,C57BL
parameter_id,MGP_PBI_014_001
gene_accession_id,MGI:3033992
pvalue,0.2251965
