parameter_name,Pale yolk sac
mouse_life_stage,Middle aged adult
gene_symbol,AU040320
analysis_id,0bey7dq09121712
gene_accession_id,MGI:2140475
pvalue,0.3985917
mouse_strain,C57BL
parameter_id,IMPC_GEL_017_002
