analysis_id,ofc1z22vr0y2441
parameter_name,Facial Morphology
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.8013597
gene_symbol,Slc39a10
gene_accession_id,MGI:1914515
parameter_id,IMPC_GEP_017_001
