mouse_strain,C3H
mouse_life_stage,Early adult
gene_symbol,Mecom
analysis_id,q4zrsowpxi03j59
gene_accession_id,MGI:95457
parameter_id,IMPC_IMM_005_002
pvalue,0.2805402
parameter_name,NK cells (Panel A) - % of live leukocytes (Panel A)
