gene_symbol,Usp37
mouse_life_stage,Early adult
analysis_id,p98123iw0v714e5
mouse_strain,C57BL
pvalue,0.5506419
parameter_name,Startle response
gene_accession_id,MGI:2442483
parameter_id,IMPC_CSD_036_001
