parameter_name,Red blood cell count
gene_symbol,Rab22a
mouse_strain,C57BL
gene_accession_id,MGI:105072
parameter_id,ESLIM_016_001_002
pvalue,0.5493784
analysis_id,965c79om603v0rr
mouse_life_stage,Early adult
