analysis_id,48vnqm924q6h2tm
mouse_strain,C57BL
parameter_id,IMPC_IMM_055_001
mouse_life_stage,Early adult
pvalue,0.470185
gene_symbol,Atf3
parameter_name,NK Subsets (Q2)
gene_accession_id,MGI:109384
