gene_symbol,Ifi44
analysis_id,b9bbcj50o257o01
pvalue,0.5575361
parameter_name,QT
parameter_id,IMPC_ECG_028_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2443016
