analysis_id,5n704c93k967724
mouse_strain,C57BL
gene_symbol,Dmap1
pvalue,0.2802003
parameter_name,Vibrissae - appearance
mouse_life_stage,E9.5
gene_accession_id,MGI:1913483
parameter_id,HMGULA_DYS_024_001
