analysis_id,u9030995f515978
mouse_strain,C57BL
gene_accession_id,MGI:1914256
parameter_id,MGP_PBI_040_001
gene_symbol,Cisd2
mouse_life_stage,Early adult
parameter_name,Eosinophil number
pvalue,0.1418699
