analysis_id,rr21tg71ge2d2nw
mouse_life_stage,Early adult
parameter_id,MGP_MLN_031_001
pvalue,0.6492501
parameter_name,Total NK cells - % of CD45+
gene_accession_id,MGI:3650254
gene_symbol,Zfp683
mouse_strain,C53BL
