gene_symbol,Gpbp1l1
mouse_life_stage,Early adult
parameter_name,Fat/Body weight
analysis_id,4jdu2766h1794dq
pvalue,0.9903316
mouse_strain,C57BL
gene_accession_id,MGI:1924360
parameter_id,IMPC_DXA_009_001
