analysis_id,63hh27cq930970f
gene_accession_id,MGI:2444554
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_MLN_063_001
gene_symbol,Mapkap1
parameter_name,Total ab T cells - % of CD45+
pvalue,0.3475863
