analysis_id,860xqsa08o179bl
gene_accession_id,MGI:1338032
pvalue,0.7220644
parameter_id,MGP_IMM_072_001
gene_symbol,Sema6c
parameter_name,CD4+ T helper cells - % of CD45+
mouse_strain,C57BL
mouse_life_stage,Early adult
